,total_amount
618705,0.79
108851,0.29
431984,2.5
344728,2.69
207228,2.19
742107,1.99
120266,1.09
351435,1.5
27719,1.89
33761,1.6
708525,0.99
183315,1.44
503908,0.79
311898,2.89
211082,1.5
150148,2.19
422295,2.49
683481,0.67
725953,0.75
409289,2.19
104475,0.59
414784,2.15
388164,1.99
574098,3.0
82132,0.99
680446,0.67
255084,0.99
606795,1.49
729991,0.99
739901,1.19
443100,1.29
756004,1.69
476617,1.89
271253,1.99
189596,1.85
431887,2.89
441328,1.35
598013,1.59
197823,1.99
203345,1.79
352126,1.34
395125,2.49
35442,1.19
527922,1.98
540452,0.99
733787,1.29
692948,0.67
495613,1.19
395710,2.5
311251,2.99
716703,1.6600000000000001
521101,0.99
683901,0.67
665552,1.29
415975,1.95
540617,1.79
310212,1.69
357483,3.49
687079,0.79
537997,2.99
789595,0.99
782425,0.95
193585,1.29
82856,0.99
269628,2.19
328793,2.0
561895,1.09
740746,2.58
482619,2.49
532009,1.19
243466,2.19
640978,0.65
128764,1.99
561402,1.25
809545,1.19
144739,2.19
682635,0.67
34463,2.55
607326,1.25
299978,2.5
667532,1.99
398861,1.5
544021,0.99
161832,2.99
546309,2.5
166688,3.19
211342,1.5
779190,0.79
634706,2.29
704537,0.69
647719,0.45
177381,1.25
333241,2.0
83355,1.98
274936,1.5
721348,0.88
578643,1.5
451670,0.99
93075,0.99
534386,0.99
44671,0.84
349212,2.89
403772,2.49
750822,2.29
555416,1.5
781009,0.77
560731,1.59
29971,1.79
814528,2.58
441487,1.35
51487,0.99
692629,0.67
288429,1.99
241018,1.99
650373,1.58
276538,0.99
746760,0.88
187322,1.33
305798,2.89
652490,0.67
802758,0.39
332423,2.0
732597,1.39
517293,0.99
687074,1.58
434430,1.99
304297,2.99
528082,2.9699999999999998
170475,3.19
774812,0.79
810881,1.29
55895,3.29
310406,2.89
595887,1.59
173923,0.59
720478,0.88
161437,3.19
620725,0.79
294406,0.99
83445,0.99
757787,0.99
174422,0.99
336604,2.0
9917,2.0
78611,0.99
533349,1.79
369936,2.99
465099,0.64
618795,0.79
641851,0.65
601634,1.25
790243,0.98
488738,3.49
85821,0.99
725849,0.88
495854,1.19
580682,1.5
49519,1.59
28704,1.79
99447,0.83
476654,1.89
635170,0.99
642167,0.45
250069,0.99
143938,2.29
484245,1.99
741527,1.29
365694,1.99
751057,1.99
121820,1.09
643785,0.45
235254,1.5
283720,1.99
805463,0.67
364259,1.79
189032,0.99
234963,1.99
436764,2.19
599295,1.25
41406,0.8
724158,0.88
696173,1.19
136623,3.78
168336,3.19
547022,2.0
194042,1.45
814611,1.29
431226,2.49
285676,2.19
705085,0.75
150363,2.19
147201,2.29
447939,1.29
38430,0.84
616540,0.99
328272,2.69
759494,0.79
336989,2.5
50101,1.59
9279,2.0
20817,0.8
460002,1.29
560149,1.25
261168,2.69
814488,1.29
301824,2.99
269552,1.99
226543,1.5
206630,3.0
245632,1.99
597859,1.59
332802,2.69
590781,2.79
508051,0.59
405902,1.99
643099,0.65
395395,2.19
470386,1.99
707829,0.88
114973,0.99
8642,2.0
543851,0.99
783957,1.39
255318,1.99
155286,1.19
88997,0.99
214177,1.98
343916,2.5
441620,1.35
291115,3.98
636893,0.45
708715,0.79
43689,1.25
676244,0.67
665500,1.29
649558,0.79
510068,0.99
11675,2.79
336854,2.5
743957,1.19
303311,3.35
775872,0.89
49420,1.79
435075,2.69
681731,0.85
750712,2.29
442613,1.65
157266,3.49
217758,1.5
67182,2.19
117027,0.89
138848,1.89
20459,1.6
155272,1.29
423802,1.49
182291,0.75
670092,1.77
84089,0.99
585253,1.5
465631,1.07
337932,2.69
301846,2.99
741427,1.29
141645,2.19
805339,0.99
14261,0.75
615316,0.79
501059,0.8
147251,2.29
515033,0.79
226372,1.5
61232,1.99
715375,0.95
650916,0.79
78140,0.99
466702,1.69
9910,2.0
224944,1.79
417073,2.15
452559,0.8
53508,1.09
788638,1.09
121459,1.09
661608,1.19
220069,2.19
509460,0.8
59211,2.99
533860,1.79
107290,1.18
774901,0.79
166324,2.65
166492,3.49
665515,1.29
309423,2.99
624915,0.79
51809,0.99
498311,2.69
557101,1.25
589855,2.0
549379,3.0
115370,1.09
363036,3.09
249034,1.5
612203,2.5
778159,0.95
416417,1.99
608015,1.09
219857,1.5
270401,0.99
407558,2.15
133468,1.19
230808,0.99
224534,0.99
488113,2.69
308031,2.99
33600,0.99
615244,0.79
464761,0.99
426817,2.98
345852,2.5
577647,1.5
275653,0.99
683859,1.34
794503,0.99
704202,0.68
396709,1.5
496274,1.99
667629,1.99
189097,0.99
251566,1.98
136254,1.99
732378,2.78
429472,1.49
623264,0.99
731507,2.38
270419,0.99
773609,0.67
519532,0.8
320731,2.99
95865,0.99
351805,1.99
773664,0.67
125342,1.09
704748,0.75
85130,1.98
644832,0.4
15107,0.75
37881,1.19
532215,0.99
250836,1.19
456133,1.59
465194,1.29
682277,0.67
779543,0.79
789532,0.99
693937,1.09
551934,3.0
702669,0.79
3716,2.0
133899,1.69
122535,0.54
541484,0.99
275543,0.99
756570,1.69
782568,0.95
768379,0.67
560403,1.09
165992,3.19
617410,0.99
178649,0.84
276172,1.99
97568,0.99
630678,3.79
302737,2.99
27412,1.79
348861,2.89
8587,2.0
111205,0.99
383122,2.99
812700,1.19
242045,1.99
178534,1.25
544406,0.99
704295,0.69
461658,1.69
328704,2.89
150530,2.19
193371,1.45
28036,3.38
258964,2.69
22869,1.25
257099,1.99
712003,1.78
70684,2.0
408168,2.25
137837,1.89
341636,2.89
595299,0.99
71685,2.45
85452,0.99
814848,1.29
701019,0.89
289705,0.99
50276,1.2
